task	depth_bin	size_bin	n_proteins	n_sites	pos_rate	depth_median	size_median	d_pct	d_pct_pos	d_pct_neg	d_auroc	d_auprc	thin
phosphorylation_st	3	0	57	1580	0.4867	12.0000	26.0000	0.1603	0.1317	0.1875	0.0121	0.0101	False
phosphorylation_st	3	1	142	6206	0.3384	13.0000	41.0000	0.0764	0.0520	0.0888	0.0054	0.0046	False
phosphorylation_st	3	2	192	12746	0.2329	13.5000	60.0000	0.0483	0.0355	0.0522	0.0165	0.0367	False
phosphorylation_st	3	3	186	18338	0.1584	14.0000	88.0000	0.0098	0.0035	0.0110	0.0072	0.0171	False
phosphorylation_st	3	4	151	30421	0.0828	15.0000	152.0000	-0.0460	-0.0423	-0.0464	0.0044	0.0149	False
phosphorylation_st	4	0	4	113	0.8053	23.0000	28.5000	0.1487	0.1353	0.2042	0.0015	0.0100	True
phosphorylation_st	4	1	17	762	0.6181	24.0000	42.0000	0.0978	0.1009	0.0927	0.0809	0.0685	False
phosphorylation_st	4	2	94	5876	0.4893	27.0000	60.5000	0.0913	0.0737	0.1081	0.0160	0.0118	False
phosphorylation_st	4	3	179	17741	0.3437	29.0000	94.0000	0.0484	0.0340	0.0560	0.0050	0.0058	False
phosphorylation_st	4	4	396	95480	0.2598	46.0000	178.0000	0.0093	0.0228	0.0046	0.0220	0.0388	False
phosphorylation_y	0	0	277	1235	0.3117	1.0000	4.0000	0.1273	0.1010	0.1392	0.0167	0.0181	False
phosphorylation_y	0	1	181	1575	0.1632	1.0000	8.0000	0.0646	0.0390	0.0696	-0.0062	-0.0232	False
phosphorylation_y	0	2	209	2654	0.1115	1.0000	12.0000	0.0319	0.0171	0.0338	0.0011	0.0091	False
phosphorylation_y	0	3	152	2848	0.0755	1.0000	17.0000	-0.0048	-0.0095	-0.0044	0.0078	0.0159	False
phosphorylation_y	0	4	137	4926	0.0412	1.0000	28.0000	-0.0918	-0.0863	-0.0921	0.0078	-0.0233	False
phosphorylation_y	1	0	24	131	0.6412	3.0000	5.0000	0.1234	0.0886	0.1855	-0.0149	-0.0288	True
phosphorylation_y	1	1	24	190	0.3789	3.0000	8.0000	0.1125	0.0876	0.1277	0.0230	0.0314	True
phosphorylation_y	1	2	41	554	0.2491	3.0000	12.0000	0.0416	0.0368	0.0432	0.0038	0.0019	False
phosphorylation_y	1	3	25	517	0.1741	3.0000	16.0000	0.0219	-0.0015	0.0269	-0.0193	-0.0251	False
phosphorylation_y	1	4	31	990	0.0970	3.0000	26.0000	-0.0456	-0.0154	-0.0489	0.0383	0.0050	False
phosphorylation_y	2	0	7	38	0.8421	4.0000	6.0000	0.1577	0.1399	0.2525	-0.1250	-0.0728	True
phosphorylation_y	2	1	27	232	0.5690	4.0000	8.0000	0.1392	0.1128	0.1740	-0.0261	-0.0119	False
phosphorylation_y	2	2	51	656	0.4299	5.0000	12.0000	0.0736	0.0517	0.0901	-0.0124	-0.0211	False
phosphorylation_y	2	3	65	1162	0.3391	5.0000	17.0000	0.0633	0.0430	0.0738	-0.0038	-0.0230	False
