alpha	d_auroc	d_auprc
0.0	-0.07657315829429442	-0.09888991225585066
0.25	-0.09172345638779694	-0.11413914068532612
0.5	-0.1047420438623793	-0.1266175813164284
0.75	-0.11579806068440195	-0.13691865427913094
1.0	-0.1249907427861053	-0.1454591471477001
