	ceiling	burden_a0	a1	lam1.1	lam1.1_capped	lam1.1_actual	lam1.25	lam1.25_capped	lam1.25_actual	lam1.5	lam1.5_capped	lam1.5_actual	a0	retained_a0
methylation_k	1.1533333333333333	0.025158811862922972	-0.24876024298789015	-0.21962071248223358	False	1.1	-0.20524218454414558	True	1.1533333333333333	-0.20524218454414558	True	1.1533333333333333	-0.20524218454414558	0.825060235023717
methylation_r	1.2494333333333334	0.041095090580424994	-0.22380375076190073	-0.196754171512024	False	1.1	-0.16556832293902973	True	1.2380666666666666	-0.16354597642197896	True	1.2494333333333334	-0.16354597642197896	0.730756190927164
acetylation_k	1.7259666666666666	0.12186724323657473	-0.17763134870240102	-0.15633227366364236	False	1.1	-0.1288889772270244	False	1.25	-0.0925678079193597	False	1.5	-0.06656484316174315	0.3747358990853814
glycosylation_n	1.2971333333333332	0.049961299352201484	-0.06657817904700923	-0.0525176889416559	False	1.1	-0.035732356688945234	True	1.2404333333333335	-0.0331287293746417	True	1.2971333333333332	-0.0331287293746417	0.49759140079890607
sumoylation_k	2.0357	0.17056543691026058	-0.06632478356180774	-0.0581106417062448	False	1.1	-0.04732073707188236	False	1.25	-0.03265520784987207	False	1.5	-0.008971586328404066	0.13526747991636473
phosphorylation_st	1.6990999999999998	0.11864732794666207	-0.026554938288674602	-0.02098804654339863	False	1.1	-0.012160238666397434	False	1.25	0.002939251755990233	False	1.5	0.014723566631729267	
ubiquitination_k	1.7074999999999998	0.16073366814129592	-0.011390150843443567	-0.007263444317013933	False	1.1	-0.0013356818577676	False	1.25	0.0076490624745850005	False	1.5	0.014091658948621267	
phosphorylation_y	1.1418	0.02333338664336752	0.014910652344309966	0.019300178239536798	False	1.1	0.020384893947879765	True	1.1418	0.020384893947879765	True	1.1418	0.020384893947879765	
