	ceiling	burden_a0	a1	lam1.1	lam1.1_capped	lam1.1_actual	lam1.25	lam1.25_capped	lam1.25_actual	lam1.5	lam1.5_capped	lam1.5_actual	a0	retained_a0
methylation_k	1.1533333333333333	0.025158811862922972	-0.2584647591046011	-0.23156409080650023	False	1.1	-0.2188679559525366	True	1.1533333333333333	-0.2188679559525366	True	1.1533333333333333	-0.2188679559525366	0.8467999920405412
methylation_r	1.2494333333333334	0.041095090580424994	-0.28168719732564435	-0.2514382920090146	False	1.1	-0.21687412077315782	True	1.2380666666666666	-0.21409976327657654	True	1.2494333333333334	-0.21409976327657654	0.7600621018961916
acetylation_k	1.7259666666666666	0.12186724323657473	-0.2616277306368621	-0.23344533260456543	False	1.1	-0.19852209153429787	False	1.25	-0.1544789999110381	False	1.5	-0.12415261000402929	0.47453918474854806
glycosylation_n	1.2971333333333332	0.049961299352201484	-0.03389713672697777	-0.027080846063374436	False	1.1	-0.01856986918115623	True	1.2404333333333335	-0.017551465824063268	True	1.2971333333333332	-0.017551465824063268	0.5177860881121135
sumoylation_k	2.0357	0.17056543691026058	-0.11955826004199899	-0.10686469327612258	False	1.1	-0.0908766986072434	False	1.25	-0.06933288364431817	False	1.5	-0.03646229118028927	0.304975090533106
phosphorylation_st	1.6990999999999998	0.11864732794666207	-0.015170682386008867	-0.012084037754481301	False	1.1	-0.007815083853025666	False	1.25	-0.0012140919773865001	False	1.5	0.0034408398436363667	-0.2268085084168445
ubiquitination_k	1.7074999999999998	0.16073366814129592	-0.029430693202394203	-0.025515971558342333	False	1.1	-0.020385758507109168	False	1.25	-0.013333015307633034	False	1.5	-0.008559897469513534	0.29084933238396105
phosphorylation_y	1.1418	0.02333338664336752	-8.948286435476668e-05	0.00278526982231	False	1.1	0.0038332971683294665	True	1.1418	0.0038332971683294665	True	1.1418	0.0038332971683294665	
