alpha	d_auroc	d_auprc
0.0	-0.053710145632474976	-0.0807369631565296
0.25	-0.06930834151693478	-0.09831457631290132
0.5	-0.08208018240828255	-0.11243262965828583
0.75	-0.09242478875981734	-0.12375452420163034
1.0	-0.10076659273110217	-0.13280226731889966
