task	train	eval	split	family	icc_base	icc	icc_fold	msw_base	msw	msw_ratio	n_proteins	n_sites
methylation_r	rebuilt	replica	0	esm2_perm	0.2181	0.2732	1.2530	0.0657	0.0755	0.8700	48	2355
methylation_r	rebuilt	rebuilt	0	interaction_perm	0.1281	0.1661	1.2959	0.0602	0.0699	0.8616	348	5747
methylation_r	rebuilt	replica	0	interaction_perm	0.2181	0.2545	1.1673	0.0657	0.0714	0.9196	48	2355
methylation_r	rebuilt	rebuilt	0	prott5_perm	0.1281	0.1599	1.2474	0.0602	0.0716	0.8417	348	5747
methylation_r	rebuilt	replica	0	prott5_perm	0.2181	0.2419	1.1095	0.0657	0.0771	0.8527	48	2355
methylation_r	rebuilt	rebuilt	1	esm2_perm	0.1417	0.1775	1.2527	0.0470	0.0399	1.1781	328	5575
methylation_r	rebuilt	replica	1	esm2_perm	0.2446	0.2633	1.0762	0.0513	0.0448	1.1451	43	1332
methylation_r	rebuilt	rebuilt	1	interaction_perm	0.1417	0.1820	1.2846	0.0470	0.0552	0.8504	328	5575
methylation_r	rebuilt	replica	1	interaction_perm	0.2446	0.2722	1.1128	0.0513	0.0574	0.8943	43	1332
methylation_r	rebuilt	rebuilt	1	prott5_perm	0.1417	0.1635	1.1539	0.0470	0.0546	0.8602	328	5575
methylation_r	rebuilt	replica	1	prott5_perm	0.2446	0.2519	1.0296	0.0513	0.0605	0.8486	43	1332
methylation_r	rebuilt	rebuilt	2	esm2_perm	0.1346	0.1690	1.2553	0.0625	0.0558	1.1207	341	5776
methylation_r	rebuilt	replica	2	esm2_perm	0.3256	0.3448	1.0587	0.0581	0.0524	1.1086	44	1779
methylation_r	rebuilt	rebuilt	2	interaction_perm	0.1346	0.1978	1.4694	0.0625	0.0641	0.9745	341	5776
methylation_r	rebuilt	replica	2	interaction_perm	0.3256	0.3957	1.2151	0.0581	0.0563	1.0327	44	1779
methylation_r	rebuilt	rebuilt	2	prott5_perm	0.1346	0.1689	1.2548	0.0625	0.0629	0.9932	341	5776
methylation_r	rebuilt	replica	2	prott5_perm	0.3256	0.3591	1.1028	0.0581	0.0564	1.0309	44	1779
methylation_r	replica	rebuilt	0	esm2	0.1373	0.8201	5.9744	0.0769	0.0155	4.9515	348	5747
methylation_r	replica	replica	0	esm2	0.1983	0.6865	3.4621	0.0776	0.0394	1.9696	48	2355
methylation_r	replica	rebuilt	0	interaction	0.1373	0.8283	6.0344	0.0769	0.0094	8.2096	348	5747
methylation_r	replica	replica	0	interaction	0.1983	0.7128	3.5948	0.0776	0.0161	4.8266	48	2355
methylation_r	replica	rebuilt	0	prott5	0.1373	0.8040	5.8571	0.0769	0.0181	4.2423	348	5747
methylation_r	replica	replica	0	prott5	0.1983	0.7831	3.9493	0.0776	0.0438	1.7693	48	2355
methylation_r	replica	rebuilt	1	esm2	0.1368	0.8844	6.4645	0.0597	0.0104	5.7329	328	5575
methylation_r	replica	replica	1	esm2	0.1890	0.7990	4.2276	0.0663	0.0267	2.4829	43	1332
methylation_r	replica	rebuilt	1	interaction	0.1368	0.8576	6.2684	0.0597	0.0108	5.5166	328	5575
methylation_r	replica	replica	1	interaction	0.1890	0.7211	3.8155	0.0663	0.0285	2.3277	43	1332
methylation_r	replica	rebuilt	1	prott5	0.1368	0.9005	6.5820	0.0597	0.0080	7.5083	328	5575
methylation_r	replica	replica	1	prott5	0.1890	0.8053	4.2608	0.0663	0.0216	3.0739	43	1332
methylation_r	replica	rebuilt	2	esm2	0.1280	0.8068	6.3021	0.0650	0.0120	5.4373	341	5776
