task	split	alpha	mode	target_inflation	actual_inflation	inflation_reached	max_inflation	n_sites	n_proteins	exp_flipped	d_auroc	d_auprc	d_auroc_lo	d_auroc_hi	d_auprc_lo	d_auprc_hi	f_shallow	f_deep	f_ref	ref_bin	f_monotone
phosphorylation_y	0	0.0	alpha			True	1.1113	7010	500	127.98270511753864	0.014351542677557911	0.014263634867448322	0.010565453613238959	0.01875168064389918	0.009145027896096008	0.020038340323023145	0.08836023789294817	0.12251941328731665	0.13338192419825073	3	False
phosphorylation_y	0	0.25	alpha			True	1.1113	7010	500	92.48275949938363	0.013524114818963612	0.013565089029280754	0.010249971008647014	0.01663037755665008	0.009727753509688544	0.01771599554097847	0.08836023789294817	0.12251941328731665	0.13338192419825073	3	False
phosphorylation_y	0	0.5	alpha			True	1.1113	7010	500	59.447630409241604	0.01289371336881476	0.013315628139376302	0.010351527397356685	0.015657860015320796	0.010260440132069849	0.01732337445802842	0.08836023789294817	0.12251941328731665	0.13338192419825073	3	False
phosphorylation_y	0	0.75	alpha			True	1.1113	7010	500	28.6802004087124	0.012250876028078195	0.012435484265285325	0.010439877051558969	0.014357617105706386	0.010186194125953934	0.015089881610668114	0.08836023789294817	0.12251941328731665	0.13338192419825073	3	False
phosphorylation_y	0	1.0	alpha			True	1.1113	7010	500	0.0	0.011722807538210422	0.012081906368192397	0.011722807538210422	0.011722807538210422	0.012081906368192397	0.012081906368192397	0.08836023789294817	0.12251941328731665	0.13338192419825073	3	False
phosphorylation_y	0	0.08934198832134205	inflation	1.1	1.1	True	1.1113	7010	500	115.00000000000013	0.01398628065828273	0.013861191343119878	0.010203624023209654	0.016980792784897534	0.009721961153460634	0.018957398552548254	0.08836023789294817	0.12251941328731665	0.13338192419825073	3	False
phosphorylation_y	0	0.0	inflation	1.25	1.1113	False	1.1113	7010	500	127.98270511753864	0.014351542677557911	0.014263634867448322	0.010565453613238959	0.01875168064389918	0.009145027896096008	0.020038340323023145	0.08836023789294817	0.12251941328731665	0.13338192419825073	3	False
phosphorylation_y	0	0.0	inflation	1.5	1.1113	False	1.1113	7010	500	127.98270511753864	0.014351542677557911	0.014263634867448322	0.010565453613238959	0.01875168064389918	0.009145027896096008	0.020038340323023145	0.08836023789294817	0.12251941328731665	0.13338192419825073	3	False
phosphorylation_y	1	0.0	alpha			True	1.1015	6859	469	119.584966989511	0.004648985541569344	0.012814415789326619	0.00103782797787291	0.008522713650648932	0.007742842146284068	0.018148473693701872	0.09134615384615384	0.13757861635220126	0.13757861635220126	5	False
phosphorylation_y	1	0.25	alpha			True	1.1015	6859	469	85.98983254645981	0.0037716791440879447	0.012274557861010416	0.00041477930591427297	0.006328806635937853	0.008203374143623661	0.016233813447430204	0.09134615384615384	0.13757861635220126	0.13757861635220126	5	False
phosphorylation_y	1	0.5	alpha			True	1.1015	6859	469	55.01210805715591	0.0029835089553833655	0.011659206473789057	0.0003820848931894633	0.005570070868342264	0.008359581537548278	0.016135048328711335	0.09134615384615384	0.13757861635220126	0.13757861635220126	5	False
phosphorylation_y	1	0.75	alpha			True	1.1015	6859	469	26.419177846001553	0.002149418623806969	0.010848506756910195	0.0002729502155436464	0.004153285162589441	0.008372069890762012	0.013452004639536615	0.09134615384615384	0.13757861635220126	0.13757861635220126	5	False
phosphorylation_y	1	1.0	alpha			True	1.1015	6859	469	0.0	0.0014400307939759216	0.01045385842476071	0.0014400307939759216	0.0014400307939759216	0.01045385842476071	0.01045385842476071	0.09134615384615384	0.13757861635220126	0.13757861635220126	5	False
phosphorylation_y	1	0.012781197027366742	inflation	1.1	1.1	True	1.1015	6859	469	117.80000000000011	0.004459047936699434	0.012944395950846423	0.0011108055222127213	0.007888941800370584	0.008379938044285114	0.018021030642740857	0.09134615384615384	0.13757861635220126	0.13757861635220126	5	False
phosphorylation_y	1	0.0	inflation	1.25	1.1015	False	1.1015	6859	469	119.584966989511	0.004648985541569344	0.012814415789326619	0.00103782797787291	0.008522713650648932	0.007742842146284068	0.018148473693701872	0.09134615384615384	0.13757861635220126	0.13757861635220126	5	False
phosphorylation_y	1	0.0	inflation	1.5	1.1015	False	1.1015	6859	469	119.584966989511	0.004648985541569344	0.012814415789326619	0.00103782797787291	0.008522713650648932	0.007742842146284068	0.018148473693701872	0.09134615384615384	0.13757861635220126	0.13757861635220126	5	False
phosphorylation_y	2	0.0	alpha			True	1.2126	7095	493	243.4170022571584	-0.007500636714138853	-0.020994184921126563	-0.012049995752877499	-0.0023753229841519093	-0.026966042691681326	-0.013345583583548783	0.1050656660412758	0.14940711462450593	0.14940711462450593	5	False
phosphorylation_y	2	0.25	alpha			True	1.2126	7095	493	173.19684353272757	-0.008653089332388439	-0.022990003475295603	-0.013245733795032629	-0.004271308916336443	-0.027993642457852262	-0.016099788116262444	0.1050656660412758	0.14940711462450593	0.14940711462450593	5	False
phosphorylation_y	2	0.5	alpha			True	1.2126	7095	493	109.6371378514794	-0.010292394875672241	-0.02561889112801511	-0.014095542367146677	-0.006364497126046178	-0.029779153266581832	-0.019882557017193114	0.1050656660412758	0.14940711462450593	0.14940711462450593	5	False
phosphorylation_y	2	0.75	alpha			True	1.2126	7095	493	52.0975143160747	-0.011848297584310226	-0.027978488468838228	-0.014455452713957382	-0.009269697347912054	-0.031740730562817704	-0.024074179804321517	0.1050656660412758	0.14940711462450593	0.14940711462450593	5	False
phosphorylation_y	2	1.0	alpha			True	1.2126	7095	493	0.0	-0.01343128692525064	-0.030288790719503914	-0.01343128692525064	-0.01343128692525064	-0.03028879071950391	-0.03028879071950391	0.1050656660412758	0.14940711462450593	0.14940711462450593	5	False
phosphorylation_y	2	0.47996843040581794	inflation	1.1	1.1	True	1.2126	7095	493	114.50000000000006	-0.010089519128052189	-0.025522397738818793	-0.013553166162184901	-0.006406228678130335	-0.02972766305188883	-0.02085020868107119	0.1050656660412758	0.14940711462450593	0.14940711462450593	5	False
phosphorylation_y	2	0.0	inflation	1.25	1.2126	False	1.2126	7095	493	243.4170022571584	-0.007500636714138853	-0.020994184921126563	-0.012049995752877499	-0.0023753229841519093	-0.026966042691681326	-0.013345583583548783	0.1050656660412758	0.14940711462450593	0.14940711462450593	5	False
