task	train	eval	split	family	auroc	auprc	n_sites	pos_rate	auroc_base	auprc_base	n_sites_base	pos_rate_base	d_auroc	d_auprc
methylation_k	replica	replica	1	prott5	0.8163	0.7775	3867	0.3788	0.7709	0.6985	3867	0.3788	0.0453	0.0790
methylation_k	replica	rebuilt	2	esm2	0.4971	0.1786	9639	0.1621	0.7428	0.3846	9639	0.1621	-0.2456	-0.2060
methylation_k	replica	replica	2	esm2	0.8269	0.7786	4431	0.3525	0.7606	0.6537	4431	0.3525	0.0663	0.1249
methylation_k	replica	rebuilt	2	interaction	0.4809	0.1555	9639	0.1621	0.7428	0.3846	9639	0.1621	-0.2619	-0.2291
methylation_k	replica	replica	2	interaction	0.8146	0.7557	4431	0.3525	0.7606	0.6537	4431	0.3525	0.0540	0.1020
methylation_k	replica	rebuilt	2	prott5	0.5135	0.1788	9639	0.1621	0.7428	0.3846	9639	0.1621	-0.2293	-0.2058
methylation_k	replica	replica	2	prott5	0.9091	0.8760	4431	0.3525	0.7606	0.6537	4431	0.3525	0.1485	0.2224
methylation_k	replica	rebuilt	0	esm2_perm	0.4865	0.1641	9669	0.1700	0.7333	0.3889	9669	0.1700	-0.2468	-0.2248
methylation_k	replica	replica	0	esm2_perm	0.6917	0.4252	5628	0.2921	0.7775	0.6009	5628	0.2921	-0.0858	-0.1757
methylation_k	replica	rebuilt	0	interaction_perm	0.5396	0.1962	9669	0.1700	0.7333	0.3889	9669	0.1700	-0.1937	-0.1927
methylation_k	replica	replica	0	interaction_perm	0.4167	0.2747	5628	0.2921	0.7775	0.6009	5628	0.2921	-0.3608	-0.3261
methylation_k	replica	rebuilt	0	prott5_perm	0.5265	0.1822	9669	0.1700	0.7333	0.3889	9669	0.1700	-0.2068	-0.2067
methylation_k	replica	replica	0	prott5_perm	0.5467	0.3655	5628	0.2921	0.7775	0.6009	5628	0.2921	-0.2309	-0.2354
methylation_k	replica	rebuilt	1	esm2_perm	0.5318	0.1813	9257	0.1583	0.7308	0.3944	9257	0.1583	-0.1990	-0.2131
methylation_k	replica	replica	1	esm2_perm	0.6012	0.4704	3867	0.3788	0.7709	0.6985	3867	0.3788	-0.1697	-0.2281
methylation_k	replica	rebuilt	1	interaction_perm	0.5250	0.1647	9257	0.1583	0.7308	0.3944	9257	0.1583	-0.2058	-0.2296
methylation_k	replica	replica	1	interaction_perm	0.3968	0.3493	3867	0.3788	0.7709	0.6985	3867	0.3788	-0.3741	-0.3492
methylation_k	replica	rebuilt	1	prott5_perm	0.5497	0.1767	9257	0.1583	0.7308	0.3944	9257	0.1583	-0.1811	-0.2176
methylation_k	replica	replica	1	prott5_perm	0.5374	0.4188	3867	0.3788	0.7709	0.6985	3867	0.3788	-0.2335	-0.2797
methylation_k	replica	rebuilt	2	esm2_perm	0.5625	0.1893	9639	0.1621	0.7428	0.3846	9639	0.1621	-0.1803	-0.1952
methylation_k	replica	replica	2	esm2_perm	0.5368	0.4725	4431	0.3525	0.7606	0.6537	4431	0.3525	-0.2238	-0.1811
methylation_k	replica	rebuilt	2	interaction_perm	0.5509	0.1952	9639	0.1621	0.7428	0.3846	9639	0.1621	-0.1919	-0.1894
methylation_k	replica	replica	2	interaction_perm	0.4864	0.3740	4431	0.3525	0.7606	0.6537	4431	0.3525	-0.2742	-0.2796
methylation_k	replica	rebuilt	2	prott5_perm	0.5204	0.1709	9639	0.1621	0.7428	0.3846	9639	0.1621	-0.2223	-0.2136
methylation_k	replica	replica	2	prott5_perm	0.3964	0.3146	4431	0.3525	0.7606	0.6537	4431	0.3525	-0.3642	-0.3390
methylation_r	rebuilt	rebuilt	0	esm2	0.8501	0.6362	5882	0.1763	0.8258	0.5656	5882	0.1763	0.0243	0.0706
methylation_r	rebuilt	replica	0	esm2	0.8256	0.6920	2929	0.3540	0.8094	0.6954	2929	0.3540	0.0162	-0.0033
methylation_r	rebuilt	rebuilt	0	interaction	0.8356	0.6021	5882	0.1763	0.8258	0.5656	5882	0.1763	0.0098	0.0365
methylation_r	rebuilt	replica	0	interaction	0.8076	0.6906	2929	0.3540	0.8094	0.6954	2929	0.3540	-0.0017	-0.0048
methylation_r	rebuilt	rebuilt	0	prott5	0.8563	0.6298	5882	0.1763	0.8258	0.5656	5882	0.1763	0.0305	0.0642
methylation_r	rebuilt	replica	0	prott5	0.8541	0.7362	2929	0.3540	0.8094	0.6954	2929	0.3540	0.0447	0.0408
methylation_r	rebuilt	rebuilt	1	esm2	0.8462	0.5933	5687	0.1570	0.7998	0.5143	5687	0.1570	0.0464	0.0791
methylation_r	rebuilt	replica	1	esm2	0.8327	0.8177	1895	0.4712	0.7957	0.7835	1895	0.4712	0.0370	0.0342
methylation_r	rebuilt	rebuilt	1	interaction	0.8197	0.5618	5687	0.1570	0.7998	0.5143	5687	0.1570	0.0199	0.0475
methylation_r	rebuilt	replica	1	interaction	0.7781	0.7651	1895	0.4712	0.7957	0.7835	1895	0.4712	-0.0176	-0.0184
methylation_r	rebuilt	rebuilt	1	prott5	0.8424	0.5913	5687	0.1570	0.7998	0.5143	5687	0.1570	0.0427	0.0771
methylation_r	rebuilt	replica	1	prott5	0.8430	0.8238	1895	0.4712	0.7957	0.7835	1895	0.4712	0.0473	0.0403
methylation_r	rebuilt	rebuilt	2	esm2	0.8466	0.6001	5905	0.1629	0.8152	0.5346	5905	0.1629	0.0315	0.0655
methylation_r	rebuilt	replica	2	esm2	0.8246	0.7351	2370	0.4059	0.7943	0.7338	2370	0.4059	0.0303	0.0013
methylation_r	rebuilt	rebuilt	2	interaction	0.8338	0.5683	5905	0.1629	0.8152	0.5346	5905	0.1629	0.0186	0.0337
methylation_r	rebuilt	replica	2	interaction	0.8211	0.7670	2370	0.4059	0.7943	0.7338	2370	0.4059	0.0268	0.0333
methylation_r	rebuilt	rebuilt	2	prott5	0.8495	0.6137	5905	0.1629	0.8152	0.5346	5905	0.1629	0.0343	0.0791
methylation_r	rebuilt	replica	2	prott5	0.8360	0.7601	2370	0.4059	0.7943	0.7338	2370	0.4059	0.0417	0.0264
methylation_r	rebuilt	rebuilt	0	esm2_perm	0.8262	0.5787	5882	0.1763	0.8258	0.5656	5882	0.1763	0.0004	0.0130
methylation_r	rebuilt	replica	0	esm2_perm	0.8084	0.6968	2929	0.3540	0.8094	0.6954	2929	0.3540	-0.0010	0.0014
methylation_r	rebuilt	rebuilt	0	interaction_perm	0.8223	0.5562	5882	0.1763	0.8258	0.5656	5882	0.1763	-0.0034	-0.0094
methylation_r	rebuilt	replica	0	interaction_perm	0.8131	0.7176	2929	0.3540	0.8094	0.6954	2929	0.3540	0.0037	0.0222
methylation_r	rebuilt	rebuilt	0	prott5_perm	0.8211	0.5475	5882	0.1763	0.8258	0.5656	5882	0.1763	-0.0046	-0.0181
methylation_r	rebuilt	replica	0	prott5_perm	0.7951	0.6744	2929	0.3540	0.8094	0.6954	2929	0.3540	-0.0143	-0.0210
methylation_r	rebuilt	rebuilt	1	esm2_perm	0.7831	0.4927	5687	0.1570	0.7998	0.5143	5687	0.1570	-0.0166	-0.0216
methylation_r	rebuilt	replica	1	esm2_perm	0.7808	0.7737	1895	0.4712	0.7957	0.7835	1895	0.4712	-0.0149	-0.0098
methylation_r	rebuilt	rebuilt	1	interaction_perm	0.7929	0.4903	5687	0.1570	0.7998	0.5143	5687	0.1570	-0.0068	-0.0239
methylation_r	rebuilt	replica	1	interaction_perm	0.8139	0.8074	1895	0.4712	0.7957	0.7835	1895	0.4712	0.0182	0.0239
methylation_r	rebuilt	rebuilt	1	prott5_perm	0.8050	0.5264	5687	0.1570	0.7998	0.5143	5687	0.1570	0.0052	0.0121
methylation_r	rebuilt	replica	1	prott5_perm	0.8109	0.8064	1895	0.4712	0.7957	0.7835	1895	0.4712	0.0151	0.0229
methylation_r	rebuilt	rebuilt	2	esm2_perm	0.8062	0.5231	5905	0.1629	0.8152	0.5346	5905	0.1629	-0.0090	-0.0115
methylation_r	rebuilt	replica	2	esm2_perm	0.7778	0.7222	2370	0.4059	0.7943	0.7338	2370	0.4059	-0.0165	-0.0116
methylation_r	rebuilt	rebuilt	2	interaction_perm	0.8091	0.5075	5905	0.1629	0.8152	0.5346	5905	0.1629	-0.0060	-0.0271
methylation_r	rebuilt	replica	2	interaction_perm	0.8283	0.7768	2370	0.4059	0.7943	0.7338	2370	0.4059	0.0341	0.0430
methylation_r	rebuilt	rebuilt	2	prott5_perm	0.8119	0.5221	5905	0.1629	0.8152	0.5346	5905	0.1629	-0.0033	-0.0125
methylation_r	rebuilt	replica	2	prott5_perm	0.7952	0.7410	2370	0.4059	0.7943	0.7338	2370	0.4059	0.0009	0.0072
methylation_r	replica	rebuilt	0	esm2	0.5165	0.1983	5882	0.1763	0.7762	0.4399	5882	0.1763	-0.2597	-0.2416
methylation_r	replica	replica	0	esm2	0.9013	0.8446	2929	0.3540	0.8151	0.7089	2929	0.3540	0.0862	0.1357
methylation_r	replica	rebuilt	0	interaction	0.4662	0.1598	5882	0.1763	0.7762	0.4399	5882	0.1763	-0.3100	-0.2801
methylation_r	replica	replica	0	interaction	0.6814	0.5725	2929	0.3540	0.8151	0.7089	2929	0.3540	-0.1337	-0.1364
methylation_r	replica	rebuilt	0	prott5	0.4894	0.1760	5882	0.1763	0.7762	0.4399	5882	0.1763	-0.2868	-0.2639
methylation_r	replica	replica	0	prott5	0.8087	0.6694	2929	0.3540	0.8151	0.7089	2929	0.3540	-0.0063	-0.0395
methylation_r	replica	rebuilt	1	esm2	0.5408	0.1790	5687	0.1570	0.7600	0.4354	5687	0.1570	-0.2193	-0.2564
methylation_r	replica	replica	1	esm2	0.8482	0.8478	1895	0.4712	0.7898	0.7755	1895	0.4712	0.0584	0.0723
methylation_r	replica	rebuilt	1	interaction	0.4859	0.1543	5687	0.1570	0.7600	0.4354	5687	0.1570	-0.2742	-0.2811
methylation_r	replica	replica	1	interaction	0.7090	0.6773	1895	0.4712	0.7898	0.7755	1895	0.4712	-0.0807	-0.0982
methylation_r	replica	rebuilt	1	prott5	0.5516	0.1882	5687	0.1570	0.7600	0.4354	5687	0.1570	-0.2084	-0.2472
methylation_r	replica	replica	1	prott5	0.8455	0.8536	1895	0.4712	0.7898	0.7755	1895	0.4712	0.0557	0.0781
methylation_r	replica	rebuilt	2	esm2	0.5748	0.2145	5905	0.1629	0.7673	0.3921	5905	0.1629	-0.1924	-0.1776
methylation_r	replica	replica	2	esm2	0.8675	0.8573	2370	0.4059	0.8010	0.7494	2370	0.4059	0.0664	0.1079
methylation_r	replica	rebuilt	2	interaction	0.5064	0.1656	5905	0.1629	0.7673	0.3921	5905	0.1629	-0.2609	-0.2265
methylation_r	replica	replica	2	interaction	0.8519	0.8263	2370	0.4059	0.8010	0.7494	2370	0.4059	0.0508	0.0769
methylation_r	replica	rebuilt	2	prott5	0.5332	0.1922	5905	0.1629	0.7673	0.3921	5905	0.1629	-0.2341	-0.2000
methylation_r	replica	replica	2	prott5	0.8802	0.8717	2370	0.4059	0.8010	0.7494	2370	0.4059	0.0792	0.1222
methylation_r	replica	rebuilt	0	esm2_perm	0.5742	0.2100	5882	0.1763	0.7762	0.4399	5882	0.1763	-0.2020	-0.2299
methylation_r	replica	replica	0	esm2_perm	0.7117	0.5266	2929	0.3540	0.8151	0.7089	2929	0.3540	-0.1033	-0.1823
methylation_r	replica	rebuilt	0	interaction_perm	0.5444	0.1958	5882	0.1763	0.7762	0.4399	5882	0.1763	-0.2318	-0.2441
methylation_r	replica	replica	0	interaction_perm	0.4667	0.3699	2929	0.3540	0.8151	0.7089	2929	0.3540	-0.3484	-0.3390
methylation_r	replica	rebuilt	0	prott5_perm	0.5824	0.2151	5882	0.1763	0.7762	0.4399	5882	0.1763	-0.1938	-0.2247
methylation_r	replica	replica	0	prott5_perm	0.6101	0.4981	2929	0.3540	0.8151	0.7089	2929	0.3540	-0.2050	-0.2108
methylation_r	replica	rebuilt	1	esm2_perm	0.5371	0.1661	5687	0.1570	0.7600	0.4354	5687	0.1570	-0.2229	-0.2693
methylation_r	replica	replica	1	esm2_perm	0.6149	0.5564	1895	0.4712	0.7898	0.7755	1895	0.4712	-0.1748	-0.2191
methylation_r	replica	rebuilt	1	interaction_perm	0.5610	0.1868	5687	0.1570	0.7600	0.4354	5687	0.1570	-0.1991	-0.2486
methylation_r	replica	replica	1	interaction_perm	0.4482	0.4301	1895	0.4712	0.7898	0.7755	1895	0.4712	-0.3416	-0.3453
methylation_r	replica	rebuilt	1	prott5_perm	0.5923	0.1908	5687	0.1570	0.7600	0.4354	5687	0.1570	-0.1677	-0.2446
methylation_r	replica	replica	1	prott5_perm	0.5767	0.5788	1895	0.4712	0.7898	0.7755	1895	0.4712	-0.2131	-0.1967
methylation_r	replica	rebuilt	2	esm2_perm	0.5904	0.2097	5905	0.1629	0.7673	0.3921	5905	0.1629	-0.1769	-0.1824
methylation_r	replica	replica	2	esm2_perm	0.5482	0.5008	2370	0.4059	0.8010	0.7494	2370	0.4059	-0.2528	-0.2486
methylation_r	replica	rebuilt	2	interaction_perm	0.5649	0.2021	5905	0.1629	0.7673	0.3921	5905	0.1629	-0.2024	-0.1900
methylation_r	replica	replica	2	interaction_perm	0.7102	0.5927	2370	0.4059	0.8010	0.7494	2370	0.4059	-0.0908	-0.1567
methylation_r	replica	rebuilt	2	prott5_perm	0.5733	0.1992	5905	0.1629	0.7673	0.3921	5905	0.1629	-0.1940	-0.1929
methylation_r	replica	replica	2	prott5_perm	0.4407	0.3783	2370	0.4059	0.8010	0.7494	2370	0.4059	-0.3603	-0.3711
phosphorylation_st	rebuilt	rebuilt	0	esm2	0.9040	0.7034	109067	0.1732	0.8725	0.6293	109067	0.1732	0.0315	0.0740
phosphorylation_st	rebuilt	replica	0	esm2	0.8904	0.7475	77441	0.2439	0.8633	0.6991	77441	0.2439	0.0271	0.0484
phosphorylation_st	rebuilt	rebuilt	0	interaction	0.8868	0.6647	109067	0.1732	0.8725	0.6293	109067	0.1732	0.0143	0.0353
phosphorylation_st	rebuilt	replica	0	interaction	0.8674	0.7008	77441	0.2439	0.8633	0.6991	77441	0.2439	0.0041	0.0017
phosphorylation_st	rebuilt	rebuilt	0	prott5	0.9061	0.7106	109067	0.1732	0.8725	0.6293	109067	0.1732	0.0336	0.0812
phosphorylation_st	rebuilt	replica	0	prott5	0.8890	0.7467	77441	0.2439	0.8633	0.6991	77441	0.2439	0.0257	0.0476
phosphorylation_st	rebuilt	rebuilt	1	esm2	0.9095	0.7063	104533	0.1653	0.8753	0.6195	104533	0.1653	0.0342	0.0867
phosphorylation_st	rebuilt	replica	1	esm2	0.8863	0.7409	70294	0.2458	0.8602	0.6903	70294	0.2458	0.0261	0.0506
phosphorylation_st	rebuilt	rebuilt	1	interaction	0.8922	0.6555	104533	0.1653	0.8753	0.6195	104533	0.1653	0.0169	0.0360
phosphorylation_st	rebuilt	replica	1	interaction	0.8663	0.6970	70294	0.2458	0.8602	0.6903	70294	0.2458	0.0061	0.0067
phosphorylation_st	rebuilt	rebuilt	1	prott5	0.9088	0.7014	104533	0.1653	0.8753	0.6195	104533	0.1653	0.0334	0.0818
phosphorylation_st	rebuilt	replica	1	prott5	0.8837	0.7336	70294	0.2458	0.8602	0.6903	70294	0.2458	0.0235	0.0433
phosphorylation_st	rebuilt	rebuilt	2	esm2	0.9022	0.6905	108636	0.1711	0.8756	0.6218	108636	0.1711	0.0267	0.0687
phosphorylation_st	rebuilt	replica	2	esm2	0.8889	0.7356	75790	0.2453	0.8715	0.7110	75790	0.2453	0.0174	0.0246
phosphorylation_st	rebuilt	rebuilt	2	interaction	0.8879	0.6641	108636	0.1711	0.8756	0.6218	108636	0.1711	0.0124	0.0424
phosphorylation_st	rebuilt	replica	2	interaction	0.8748	0.7197	75790	0.2453	0.8715	0.7110	75790	0.2453	0.0034	0.0086
phosphorylation_st	rebuilt	rebuilt	2	prott5	0.9036	0.6931	108636	0.1711	0.8756	0.6218	108636	0.1711	0.0281	0.0714
phosphorylation_st	rebuilt	replica	2	prott5	0.8873	0.7320	75790	0.2453	0.8715	0.7110	75790	0.2453	0.0158	0.0209
phosphorylation_st	rebuilt	rebuilt	0	esm2_perm	0.8605	0.6032	109067	0.1732	0.8725	0.6293	109067	0.1732	-0.0121	-0.0261
phosphorylation_st	rebuilt	replica	0	esm2_perm	0.8507	0.6746	77441	0.2439	0.8633	0.6991	77441	0.2439	-0.0127	-0.0245
phosphorylation_st	rebuilt	rebuilt	0	interaction_perm	0.8565	0.5889	109067	0.1732	0.8725	0.6293	109067	0.1732	-0.0160	-0.0404
phosphorylation_st	rebuilt	replica	0	interaction_perm	0.8469	0.6648	77441	0.2439	0.8633	0.6991	77441	0.2439	-0.0164	-0.0343
phosphorylation_st	rebuilt	rebuilt	0	prott5_perm	0.8595	0.5943	109067	0.1732	0.8725	0.6293	109067	0.1732	-0.0130	-0.0350
phosphorylation_st	rebuilt	replica	0	prott5_perm	0.8516	0.6722	77441	0.2439	0.8633	0.6991	77441	0.2439	-0.0118	-0.0269
phosphorylation_st	rebuilt	rebuilt	1	esm2_perm	0.8644	0.5922	104533	0.1653	0.8753	0.6195	104533	0.1653	-0.0109	-0.0273
phosphorylation_st	rebuilt	replica	1	esm2_perm	0.8479	0.6630	70294	0.2458	0.8602	0.6903	70294	0.2458	-0.0123	-0.0273
phosphorylation_st	rebuilt	rebuilt	1	interaction_perm	0.8534	0.5689	104533	0.1653	0.8753	0.6195	104533	0.1653	-0.0219	-0.0507
phosphorylation_st	rebuilt	replica	1	interaction_perm	0.8382	0.6467	70294	0.2458	0.8602	0.6903	70294	0.2458	-0.0220	-0.0436
phosphorylation_st	rebuilt	rebuilt	1	prott5_perm	0.8640	0.5934	104533	0.1653	0.8753	0.6195	104533	0.1653	-0.0113	-0.0261
phosphorylation_st	rebuilt	replica	1	prott5_perm	0.8468	0.6637	70294	0.2458	0.8602	0.6903	70294	0.2458	-0.0133	-0.0267
phosphorylation_st	rebuilt	rebuilt	2	esm2_perm	0.8675	0.5987	108636	0.1711	0.8756	0.6218	108636	0.1711	-0.0080	-0.0230
phosphorylation_st	rebuilt	replica	2	esm2_perm	0.8625	0.6915	75790	0.2453	0.8715	0.7110	75790	0.2453	-0.0090	-0.0195
phosphorylation_st	rebuilt	rebuilt	2	interaction_perm	0.8647	0.5952	108636	0.1711	0.8756	0.6218	108636	0.1711	-0.0109	-0.0265
phosphorylation_st	rebuilt	replica	2	interaction_perm	0.8577	0.6860	75790	0.2453	0.8715	0.7110	75790	0.2453	-0.0137	-0.0250
phosphorylation_st	rebuilt	rebuilt	2	prott5_perm	0.8591	0.5715	108636	0.1711	0.8756	0.6218	108636	0.1711	-0.0165	-0.0502
phosphorylation_st	rebuilt	replica	2	prott5_perm	0.8532	0.6659	75790	0.2453	0.8715	0.7110	75790	0.2453	-0.0183	-0.0451
phosphorylation_st	replica	rebuilt	0	esm2	0.8449	0.4914	109067	0.1732	0.8693	0.6228	109067	0.1732	-0.0244	-0.1314
phosphorylation_st	replica	replica	0	esm2	0.8959	0.7619	77441	0.2439	0.8646	0.7025	77441	0.2439	0.0312	0.0594
phosphorylation_st	replica	rebuilt	0	interaction	0.8498	0.5302	109067	0.1732	0.8693	0.6228	109067	0.1732	-0.0196	-0.0926
phosphorylation_st	replica	replica	0	interaction	0.8659	0.6842	77441	0.2439	0.8646	0.7025	77441	0.2439	0.0012	-0.0183
phosphorylation_st	replica	rebuilt	0	prott5	0.8464	0.4921	109067	0.1732	0.8693	0.6228	109067	0.1732	-0.0229	-0.1307
phosphorylation_st	replica	replica	0	prott5	0.8972	0.7608	77441	0.2439	0.8646	0.7025	77441	0.2439	0.0325	0.0583
phosphorylation_st	replica	rebuilt	1	esm2	0.8328	0.4308	104533	0.1653	0.8722	0.6128	104533	0.1653	-0.0394	-0.1820
phosphorylation_st	replica	replica	1	esm2	0.8978	0.7662	70294	0.2458	0.8662	0.7042	70294	0.2458	0.0316	0.0620
phosphorylation_st	replica	rebuilt	1	interaction	0.8591	0.5591	104533	0.1653	0.8722	0.6128	104533	0.1653	-0.0132	-0.0537
phosphorylation_st	replica	replica	1	interaction	0.8677	0.7031	70294	0.2458	0.8662	0.7042	70294	0.2458	0.0015	-0.0011
phosphorylation_st	replica	rebuilt	1	prott5	0.8289	0.4289	104533	0.1653	0.8722	0.6128	104533	0.1653	-0.0433	-0.1839
phosphorylation_st	replica	replica	1	prott5	0.8976	0.7658	70294	0.2458	0.8662	0.7042	70294	0.2458	0.0313	0.0615
phosphorylation_st	replica	rebuilt	2	esm2	0.8561	0.5059	108636	0.1711	0.8719	0.6111	108636	0.1711	-0.0158	-0.1052
phosphorylation_st	replica	replica	2	esm2	0.9025	0.7708	75790	0.2453	0.8721	0.7141	75790	0.2453	0.0304	0.0567
phosphorylation_st	replica	rebuilt	2	interaction	0.8591	0.5556	108636	0.1711	0.8719	0.6111	108636	0.1711	-0.0128	-0.0555
phosphorylation_st	replica	replica	2	interaction	0.8782	0.7221	75790	0.2453	0.8721	0.7141	75790	0.2453	0.0061	0.0080
phosphorylation_st	replica	rebuilt	2	prott5	0.8344	0.4411	108636	0.1711	0.8719	0.6111	108636	0.1711	-0.0375	-0.1700
phosphorylation_st	replica	replica	2	prott5	0.9002	0.7660	75790	0.2453	0.8721	0.7141	75790	0.2453	0.0281	0.0519
phosphorylation_st	replica	rebuilt	0	esm2_perm	0.8544	0.5855	109067	0.1732	0.8693	0.6228	109067	0.1732	-0.0149	-0.0373
phosphorylation_st	replica	replica	0	esm2_perm	0.8508	0.6732	77441	0.2439	0.8646	0.7025	77441	0.2439	-0.0138	-0.0293
phosphorylation_st	replica	rebuilt	0	interaction_perm	0.8494	0.5723	109067	0.1732	0.8693	0.6228	109067	0.1732	-0.0199	-0.0505
phosphorylation_st	replica	replica	0	interaction_perm	0.8449	0.6626	77441	0.2439	0.8646	0.7025	77441	0.2439	-0.0197	-0.0399
phosphorylation_st	replica	rebuilt	0	prott5_perm	0.8562	0.5945	109067	0.1732	0.8693	0.6228	109067	0.1732	-0.0131	-0.0283
phosphorylation_st	replica	replica	0	prott5_perm	0.8516	0.6773	77441	0.2439	0.8646	0.7025	77441	0.2439	-0.0131	-0.0252
phosphorylation_st	replica	rebuilt	1	esm2_perm	0.8552	0.5768	104533	0.1653	0.8722	0.6128	104533	0.1653	-0.0170	-0.0360
phosphorylation_st	replica	replica	1	esm2_perm	0.8497	0.6727	70294	0.2458	0.8662	0.7042	70294	0.2458	-0.0165	-0.0315
phosphorylation_st	replica	rebuilt	1	interaction_perm	0.8518	0.5650	104533	0.1653	0.8722	0.6128	104533	0.1653	-0.0205	-0.0478
phosphorylation_st	replica	replica	1	interaction_perm	0.8414	0.6548	70294	0.2458	0.8662	0.7042	70294	0.2458	-0.0248	-0.0494
phosphorylation_st	replica	rebuilt	1	prott5_perm	0.8511	0.5660	104533	0.1653	0.8722	0.6128	104533	0.1653	-0.0211	-0.0468
phosphorylation_st	replica	replica	1	prott5_perm	0.8460	0.6659	70294	0.2458	0.8662	0.7042	70294	0.2458	-0.0202	-0.0383
phosphorylation_st	replica	rebuilt	2	esm2_perm	0.8597	0.5801	108636	0.1711	0.8719	0.6111	108636	0.1711	-0.0122	-0.0310
phosphorylation_st	replica	replica	2	esm2_perm	0.8574	0.6817	75790	0.2453	0.8721	0.7141	75790	0.2453	-0.0147	-0.0324
phosphorylation_st	replica	rebuilt	2	interaction_perm	0.8589	0.5797	108636	0.1711	0.8719	0.6111	108636	0.1711	-0.0130	-0.0314
phosphorylation_st	replica	replica	2	interaction_perm	0.8549	0.6775	75790	0.2453	0.8721	0.7141	75790	0.2453	-0.0172	-0.0366
phosphorylation_st	replica	rebuilt	2	prott5_perm	0.8503	0.5581	108636	0.1711	0.8719	0.6111	108636	0.1711	-0.0216	-0.0530
phosphorylation_st	replica	replica	2	prott5_perm	0.8481	0.6568	75790	0.2453	0.8721	0.7141	75790	0.2453	-0.0240	-0.0574
phosphorylation_y	rebuilt	rebuilt	0	esm2	0.8357	0.5261	7010	0.1641	0.7950	0.4505	7010	0.1641	0.0407	0.0756
phosphorylation_y	rebuilt	replica	0	esm2	0.8425	0.5333	7194	0.1599	0.7896	0.4317	7194	0.1599	0.0529	0.1016
phosphorylation_y	rebuilt	rebuilt	0	interaction	0.8148	0.4750	7010	0.1641	0.7950	0.4505	7010	0.1641	0.0198	0.0244
phosphorylation_y	rebuilt	replica	0	interaction	0.8162	0.4652	7194	0.1599	0.7896	0.4317	7194	0.1599	0.0267	0.0335
phosphorylation_y	rebuilt	rebuilt	0	prott5	0.8369	0.5244	7010	0.1641	0.7950	0.4505	7010	0.1641	0.0419	0.0739
phosphorylation_y	rebuilt	replica	0	prott5	0.8430	0.5246	7194	0.1599	0.7896	0.4317	7194	0.1599	0.0534	0.0929
phosphorylation_y	rebuilt	rebuilt	1	esm2	0.8340	0.5367	6859	0.1717	0.8105	0.4855	6859	0.1717	0.0236	0.0512
phosphorylation_y	rebuilt	replica	1	esm2	0.8421	0.5521	6633	0.1776	0.8038	0.4834	6633	0.1776	0.0383	0.0686
phosphorylation_y	rebuilt	rebuilt	1	interaction	0.8248	0.5118	6859	0.1717	0.8105	0.4855	6859	0.1717	0.0143	0.0262
phosphorylation_y	rebuilt	replica	1	interaction	0.8245	0.5177	6633	0.1776	0.8038	0.4834	6633	0.1776	0.0207	0.0342
phosphorylation_y	rebuilt	rebuilt	1	prott5	0.8437	0.5568	6859	0.1717	0.8105	0.4855	6859	0.1717	0.0333	0.0712
phosphorylation_y	rebuilt	replica	1	prott5	0.8467	0.5701	6633	0.1776	0.8038	0.4834	6633	0.1776	0.0429	0.0867
phosphorylation_y	rebuilt	rebuilt	2	esm2	0.8353	0.5180	7095	0.1614	0.8023	0.4597	7095	0.1614	0.0330	0.0584
phosphorylation_y	rebuilt	replica	2	esm2	0.8525	0.5563	7086	0.1616	0.8041	0.4628	7086	0.1616	0.0483	0.0936
phosphorylation_y	rebuilt	rebuilt	2	interaction	0.8074	0.4728	7095	0.1614	0.8023	0.4597	7095	0.1614	0.0051	0.0132
phosphorylation_y	rebuilt	replica	2	interaction	0.8197	0.4909	7086	0.1616	0.8041	0.4628	7086	0.1616	0.0156	0.0281
phosphorylation_y	rebuilt	rebuilt	2	prott5	0.8352	0.5294	7095	0.1614	0.8023	0.4597	7095	0.1614	0.0329	0.0698
phosphorylation_y	rebuilt	replica	2	prott5	0.8556	0.5715	7086	0.1616	0.8041	0.4628	7086	0.1616	0.0515	0.1087
phosphorylation_y	rebuilt	rebuilt	0	esm2_perm	0.7891	0.4288	7010	0.1641	0.7950	0.4505	7010	0.1641	-0.0059	-0.0217
phosphorylation_y	rebuilt	replica	0	esm2_perm	0.7843	0.4120	7194	0.1599	0.7896	0.4317	7194	0.1599	-0.0053	-0.0197
phosphorylation_y	rebuilt	rebuilt	0	interaction_perm	0.7746	0.4153	7010	0.1641	0.7950	0.4505	7010	0.1641	-0.0204	-0.0353
phosphorylation_y	rebuilt	replica	0	interaction_perm	0.7671	0.3881	7194	0.1599	0.7896	0.4317	7194	0.1599	-0.0224	-0.0437
phosphorylation_y	rebuilt	rebuilt	0	prott5_perm	0.7887	0.4179	7010	0.1641	0.7950	0.4505	7010	0.1641	-0.0063	-0.0326
phosphorylation_y	rebuilt	replica	0	prott5_perm	0.7807	0.3974	7194	0.1599	0.7896	0.4317	7194	0.1599	-0.0089	-0.0343
phosphorylation_y	rebuilt	rebuilt	1	esm2_perm	0.8031	0.4738	6859	0.1717	0.8105	0.4855	6859	0.1717	-0.0074	-0.0117
phosphorylation_y	rebuilt	replica	1	esm2_perm	0.7946	0.4544	6633	0.1776	0.8038	0.4834	6633	0.1776	-0.0092	-0.0290
