task	train	eval	split	family	auroc	auprc	n_sites	pos_rate	auroc_base	auprc_base	n_sites_base	pos_rate_base	d_auroc	d_auprc
acetylation_k	replica	rebuilt	0	interaction	0.5659	0.1854	19447	0.1630	0.8118	0.4316	19447	0.1630	-0.2460	-0.2462
acetylation_k	replica	replica	0	interaction	0.7432	0.6280	7839	0.4044	0.8426	0.7660	7839	0.4044	-0.0993	-0.1380
acetylation_k	replica	rebuilt	0	prott5	0.5782	0.1857	19447	0.1630	0.8118	0.4316	19447	0.1630	-0.2336	-0.2458
acetylation_k	replica	replica	0	prott5	0.8624	0.8027	7839	0.4044	0.8426	0.7660	7839	0.4044	0.0198	0.0367
acetylation_k	replica	rebuilt	1	esm2	0.6195	0.2188	19570	0.1678	0.7788	0.3643	19570	0.1678	-0.1593	-0.1456
acetylation_k	replica	replica	1	esm2	0.8459	0.8045	8060	0.4073	0.8283	0.7507	8060	0.4073	0.0176	0.0538
acetylation_k	replica	rebuilt	1	interaction	0.5079	0.1626	19570	0.1678	0.7788	0.3643	19570	0.1678	-0.2709	-0.2017
acetylation_k	replica	replica	1	interaction	0.7174	0.6088	8060	0.4073	0.8283	0.7507	8060	0.4073	-0.1110	-0.1418
acetylation_k	replica	rebuilt	1	prott5	0.5760	0.1964	19570	0.1678	0.7788	0.3643	19570	0.1678	-0.2028	-0.1680
acetylation_k	replica	replica	1	prott5	0.8373	0.8070	8060	0.4073	0.8283	0.7507	8060	0.4073	0.0089	0.0563
acetylation_k	replica	rebuilt	2	esm2	0.5886	0.2068	20363	0.1730	0.8080	0.4431	20363	0.1730	-0.2194	-0.2362
acetylation_k	replica	replica	2	esm2	0.8595	0.8119	8898	0.3958	0.8389	0.7557	8898	0.3958	0.0206	0.0562
acetylation_k	replica	rebuilt	2	interaction	0.5400	0.1755	20363	0.1730	0.8080	0.4431	20363	0.1730	-0.2680	-0.2675
acetylation_k	replica	replica	2	interaction	0.7482	0.6415	8898	0.3958	0.8389	0.7557	8898	0.3958	-0.0907	-0.1142
acetylation_k	replica	rebuilt	2	prott5	0.5488	0.1881	20363	0.1730	0.8080	0.4431	20363	0.1730	-0.2591	-0.2550
acetylation_k	replica	replica	2	prott5	0.8364	0.7637	8898	0.3958	0.8389	0.7557	8898	0.3958	-0.0024	0.0080
acetylation_k	replica	rebuilt	0	esm2_perm	0.7316	0.2960	19447	0.1630	0.8118	0.4316	19447	0.1630	-0.0803	-0.1356
acetylation_k	replica	replica	0	esm2_perm	0.7749	0.6769	7839	0.4044	0.8426	0.7660	7839	0.4044	-0.0677	-0.0891
acetylation_k	replica	rebuilt	0	interaction_perm	0.6851	0.2663	19447	0.1630	0.8118	0.4316	19447	0.1630	-0.1268	-0.1653
acetylation_k	replica	replica	0	interaction_perm	0.6751	0.5482	7839	0.4044	0.8426	0.7660	7839	0.4044	-0.1675	-0.2178
acetylation_k	replica	rebuilt	0	prott5_perm	0.7344	0.3049	19447	0.1630	0.8118	0.4316	19447	0.1630	-0.0774	-0.1267
acetylation_k	replica	replica	0	prott5_perm	0.7431	0.6264	7839	0.4044	0.8426	0.7660	7839	0.4044	-0.0995	-0.1396
acetylation_k	replica	rebuilt	1	esm2_perm	0.7542	0.3520	19570	0.1678	0.7788	0.3643	19570	0.1678	-0.0246	-0.0123
acetylation_k	replica	replica	1	esm2_perm	0.7690	0.6717	8060	0.4073	0.8283	0.7507	8060	0.4073	-0.0593	-0.0790
