task	train	eval	family	d_auroc	auroc_lo	auroc_hi	d_auprc	auprc_lo	auprc_hi	n_boot	n_sites	n_proteins
methylation_r	replica	rebuilt	esm2	-0.2206	-0.2467	-0.1941	-0.2168	-0.2482	-0.1857	2000	17474	1145
sumoylation_k	replica	rebuilt	esm2	-0.0685	-0.0812	-0.0558	-0.1136	-0.1297	-0.0967	2000	70586	1882
ubiquitination_k	replica	rebuilt	esm2	-0.0114	-0.0181	-0.0045	-0.0308	-0.0416	-0.0189	2000	138192	3478
glycosylation_n	replica	rebuilt	esm2	-0.0711	-0.0824	-0.0602	-0.1712	-0.2013	-0.1393	2000	14200	884
phosphorylation_st	rebuilt	replica	esm2	0.0236	0.0201	0.0272	0.0413	0.0329	0.0497	2000	223525	3921
phosphorylation_y	rebuilt	replica	esm2	0.0463	0.0394	0.0535	0.0836	0.0647	0.1030	2000	20913	2085
acetylation_k	rebuilt	replica	esm2	0.0106	-0.0058	0.0276	0.0182	-0.0066	0.0433	2000	24797	2017
methylation_k	rebuilt	replica	esm2	0.0301	0.0089	0.0488	0.0258	0.0003	0.0539	2000	13926	1712
methylation_r	rebuilt	replica	esm2	0.0242	0.0007	0.0451	0.0099	-0.0185	0.0435	2000	7194	1147
sumoylation_k	rebuilt	replica	esm2	0.0162	0.0034	0.0276	0.0211	0.0037	0.0388	2000	28835	1882
ubiquitination_k	rebuilt	replica	esm2	0.0157	0.0069	0.0242	0.0271	0.0129	0.0408	2000	72560	3478
glycosylation_n	rebuilt	replica	esm2	0.0037	-0.0011	0.0084	0.0128	-0.0032	0.0294	2000	5817	884
phosphorylation_st	rebuilt	rebuilt	esm2	0.0309	0.0279	0.0340	0.0773	0.0691	0.0861	2000	322236	3921
phosphorylation_y	rebuilt	rebuilt	esm2	0.0320	0.0252	0.0390	0.0539	0.0352	0.0731	2000	20964	1462
acetylation_k	rebuilt	rebuilt	esm2	0.0625	0.0556	0.0694	0.1572	0.1389	0.1753	2000	59380	2017
