threshold	r2_target	seed	r2_measured	homog_train	homog_test_threshold	homog_test_natural	auroc_base_threshold	auprc_base_threshold	auroc_base_natural	auprc_base_natural	auroc_real_threshold	auprc_real_threshold	auroc_real_natural	auprc_real_natural	auroc_perm_threshold	auprc_perm_threshold	auroc_perm_natural	auprc_perm_natural	d_real_threshold	d_perm_threshold	real_beats_perm_threshold	d_real_natural	d_perm_natural	real_beats_perm_natural	rho_score_depth_base	rho_score_depth_real	rho_delta	rho_truth
0	0.02	0	0.0046105867640307	0.01628374029760474	0.0	0.0	0.6959056653439437	0.4049546388286096	0.6959056653439437	0.4049546388286096	0.6819512282994586	0.3843751763964068	0.6819512282994586	0.3843751763964068	0.6821298399813527	0.3815875734908939	0.6821298399813527	0.3815875734908939	-0.013954437044485068	-0.013775825362591032	0	-0.013954437044485068	-0.013775825362591032	0	0.13424213372867963	0.08414367167813687	-0.05009846205054276	0.8592036275199881
0	0.02	1	0.005561598772968468	0.011552947156819704	0.0	0.0	0.7457189741800168	0.4930076126406902	0.7457189741800168	0.4930076126406902	0.730675929367772	0.4717428050277613	0.730675929367772	0.4717428050277613	0.7202733672603769	0.45559475383931625	0.7202733672603769	0.45559475383931625	-0.015043044812244721	-0.025445606919639818	1	-0.015043044812244721	-0.025445606919639818	1	0.17422166972160333	0.11755127174102288	-0.05667039798058045	0.8476855851546733
0	0.02	2	0.0067828325300386405	0.0	0.03769317753486619	0.03769317753486619	0.7678070560665993	0.5498988759304433	0.7678070560665993	0.5498988759304433	0.7408654426990835	0.5073504993659926	0.7408654426990835	0.5073504993659926	0.7493089886893844	0.5224816336308049	0.7493089886893844	0.5224816336308049	-0.02694161336751577	-0.018498067377214822	0	-0.02694161336751577	-0.018498067377214822	0	0.17254668811537743	0.1299480974375446	-0.04259859067783284	0.8212074113156744
0	0.05	0	0.01964431714397219	0.01628374029760474	0.0	0.0	0.6959056653439437	0.4049546388286096	0.6959056653439437	0.4049546388286096	0.6851490065363056	0.38932622451709464	0.6851490065363056	0.38932622451709464	0.6926775720651642	0.39793641252238315	0.6926775720651642	0.39793641252238315	-0.010756658807638098	-0.003228093278779487	0	-0.010756658807638098	-0.003228093278779487	0	0.13424213372867963	0.11544481394322442	-0.018797319785455208	0.8592036275199881
0	0.05	1	0.020444366305188533	0.011552947156819704	0.0	0.0	0.7457189741800168	0.4930076126406902	0.7457189741800168	0.4930076126406902	0.7484307003288464	0.5006459774160561	0.7484307003288464	0.5006459774160561	0.7265194350346491	0.46330412089217143	0.7265194350346491	0.46330412089217143	0.0027117261488296407	-0.01919953914536765	1	0.0027117261488296407	-0.01919953914536765	1	0.17422166972160333	0.22106933411806554	0.04684766439646221	0.8476855851546733
0	0.05	2	0.021556650539523714	0.0	0.03769317753486619	0.03769317753486619	0.7678070560665993	0.5498988759304433	0.7678070560665993	0.5498988759304433	0.7691622730607928	0.5553846502002915	0.7691622730607928	0.5553846502002915	0.7632163168293227	0.5441097808095401	0.7632163168293227	0.5441097808095401	0.0013552169941934977	-0.004590739237276598	1	0.0013552169941934977	-0.004590739237276598	1	0.17254668811537743	0.21797850244216102	0.04543181432678359	0.8212074113156744
0	0.1	0	0.04607562938339893	0.01628374029760474	0.0	0.0	0.6959056653439437	0.4049546388286096	0.6959056653439437	0.4049546388286096	0.7061073649847077	0.4175162339825579	0.7061073649847077	0.4175162339825579	0.6903777257873418	0.39688243104006676	0.6903777257873418	0.39688243104006676	0.010201699640764006	-0.005527939556601913	1	0.010201699640764006	-0.005527939556601913	1	0.13424213372867963	0.2329396885896169	0.09869755486093726	0.8592036275199881
0	0.1	1	0.045578687415034236	0.011552947156819704	0.0	0.0	0.7457189741800168	0.4930076126406902	0.7457189741800168	0.4930076126406902	0.7485530220022625	0.4986821856127621	0.7485530220022625	0.4986821856127621	0.7081149684603396	0.4392297410883257	0.7081149684603396	0.4392297410883257	0.002834047822245722	-0.03760400571967715	1	0.002834047822245722	-0.03760400571967715	1	0.17422166972160333	0.25617783716068676	0.08195616743908343	0.8476855851546733
0	0.1	2	0.04717879809855863	0.0	0.03769317753486619	0.03769317753486619	0.7678070560665993	0.5498988759304433	0.7678070560665993	0.5498988759304433	0.7750964247485254	0.5635724488792762	0.7750964247485254	0.5635724488792762	0.7613362934799854	0.5420472272005852	0.7613362934799854	0.5420472272005852	0.0072893686819260894	-0.006470762586613832	1	0.0072893686819260894	-0.006470762586613832	1	0.17254668811537743	0.25984235453049465	0.08729566641511721	0.8212074113156744
0	0.2	0	0.10032301273677746	0.01628374029760474	0.0	0.0	0.6959056653439437	0.4049546388286096	0.6959056653439437	0.4049546388286096	0.6964658003768145	0.4088167617730909	0.6964658003768145	0.4088167617730909	0.6619178278576086	0.3573559656419274	0.6619178278576086	0.3573559656419274	0.0005601350328707788	-0.03398783748633516	1	0.0005601350328707788	-0.03398783748633516	1	0.13424213372867963	0.25723885883944325	0.12299672511076362	0.8592036275199881
0	0.2	1	0.09553094981760868	0.011552947156819704	0.0	0.0	0.7457189741800168	0.4930076126406902	0.7457189741800168	0.4930076126406902	0.7648262241934978	0.5261941740912544	0.7648262241934978	0.5261941740912544	0.7286865428533038	0.4659906115700646	0.7286865428533038	0.4659906115700646	0.019107250013481014	-0.01703243132671295	1	0.019107250013481014	-0.01703243132671295	1	0.17422166972160333	0.3350570755915417	0.16083540586993836	0.8476855851546733
0	0.2	2	0.09677982414474784	0.0	0.03769317753486619	0.03769317753486619	0.7678070560665993	0.5498988759304433	0.7678070560665993	0.5498988759304433	0.7835614756475031	0.5773312496943701	0.7835614756475031	0.5773312496943701	0.7630090501837583	0.5440135326669839	0.7630090501837583	0.5440135326669839	0.015754419580903845	-0.004798005882840961	1	0.015754419580903845	-0.004798005882840961	1	0.17254668811537743	0.34193252806090024	0.1693858399455228	0.8212074113156744
0	0.4	0	0.21059693961353598	0.01628374029760474	0.0	0.0	0.6959056653439437	0.4049546388286096	0.6959056653439437	0.4049546388286096	0.7357355439587316	0.45925633166277824	0.7357355439587316	0.45925633166277824	0.6928996130677909	0.3964661182691208	0.6928996130677909	0.3964661182691208	0.03982987861478793	-0.003006052276152804	1	0.03982987861478793	-0.003006052276152804	1	0.13424213372867963	0.4409550158054259	0.3067128820767463	0.8592036275199881
0	0.4	1	0.1964098711614134	0.011552947156819704	0.0	0.0	0.7457189741800168	0.4930076126406902	0.7457189741800168	0.4930076126406902	0.7872211378881224	0.5617477608743022	0.7872211378881224	0.5617477608743022	0.7181153654422103	0.4551553961162551	0.7181153654422103	0.4551553961162551	0.041502163708105666	-0.02760360873780643	1	0.041502163708105666	-0.02760360873780643	1	0.17422166972160333	0.47990269819158804	0.3056810284699847	0.8476855851546733
0	0.4	2	0.19614986650664634	0.0	0.03769317753486619	0.03769317753486619	0.7678070560665993	0.5498988759304433	0.7678070560665993	0.5498988759304433	0.7991922973766428	0.6027503162022457	0.7991922973766428	0.6027503162022457	0.749507959433849	0.5236858684616961	0.749507959433849	0.5236858684616961	0.0313852413100435	-0.01829909663275031	1	0.0313852413100435	-0.01829909663275031	1	0.17254668811537743	0.4514142084639451	0.27886752034856765	0.8212074113156744
